#;$id;libellé SEDA;libellé anglais
;;application/vnd.geogebra.file;vnd.geogebra.file
;;application/vnd.geogebra.tool;vnd.geogebra.tool
;;application/vnd.geometry-explorer;vnd.geometry-explorer
;;application/vnd.geonext;vnd.geonext
;;application/vnd.geoplan;vnd.geoplan
;;application/vnd.geospace;vnd.geospace
;;application/vnd.globalplatform.card-content-mgt;vnd.globalplatform.card-content-mgt
;;application/vnd.globalplatform.card-content-mgt-response;vnd.globalplatform.card-content-mgt-response
;;application/vnd.gmx(OBSOLETE);vnd.gmx(OBSOLETE)
;;application/vnd.google-earth.kml+xml;vnd.google-earth.kml+xml
;;application/vnd.google-earth.kmz;vnd.google-earth.kmz
;;application/vnd.grafeq;vnd.grafeq
;;application/vnd.gridmp;vnd.gridmp
;;application/vnd.groove-account;vnd.groove-account
;;application/vnd.groove-help;vnd.groove-help
;;application/vnd.groove-identity-message;vnd.groove-identity-message
;;application/vnd.groove-injector;vnd.groove-injector
;;application/vnd.groove-tool-message;vnd.groove-tool-message
;;application/vnd.groove-tool-template;vnd.groove-tool-template
;;application/vnd.groove-vcard;vnd.groove-vcard
;;application/vnd.hal+xml;vnd.hal+xml
;;application/vnd.HandHeld-Entertainment+xml;vnd.HandHeld-Entertainment+xml
;;application/vnd.hbci;vnd.hbci
;;application/vnd.hcl-bireports;vnd.hcl-bireports
;;application/vnd.hhe.lesson-player;vnd.hhe.lesson-player
;;application/vnd.hp-HPGL;vnd.hp-HPGL
;;application/vnd.hp-hpid;vnd.hp-hpid
;;application/vnd.hp-hps;vnd.hp-hps
;;application/vnd.hp-jlyt;vnd.hp-jlyt
;;application/vnd.hp-PCL;vnd.hp-PCL
;;application/vnd.hp-PCLXL;vnd.hp-PCLXL
;;application/vnd.httphone;vnd.httphone
;;application/vnd.hydrostatix.sof-data;vnd.hydrostatix.sof-data
;;application/vnd.hzn-3d-crossword;vnd.hzn-3d-crossword
;;application/vnd.ibm.afplinedata;vnd.ibm.afplinedata
;;application/vnd.ibm.electronic-media;vnd.ibm.electronic-media
;;application/vnd.ibm.MiniPay;vnd.ibm.MiniPay
;;application/vnd.ibm.modcap;vnd.ibm.modcap
;;application/vnd.ibm.rights-management;vnd.ibm.rights-management
;;application/vnd.ibm.secure-container;vnd.ibm.secure-container
;;application/vnd.iccprofile;vnd.iccprofile
;;application/vnd.igloader;vnd.igloader
;;application/vnd.immervision-ivp;vnd.immervision-ivp
;;application/vnd.immervision-ivu;vnd.immervision-ivu
;;application/vnd.informedcontrol.rms+xml;vnd.informedcontrol.rms+xml
;;application/vnd.infotech.project;vnd.infotech.project
;;application/vnd.infotech.project+xml;vnd.infotech.project+xml
;;application/vnd.informix-visionary;vnd.informix-visionary
;;application/vnd.insors.igm;vnd.insors.igm
;;application/vnd.intercon.formnet;vnd.intercon.formnet
;;application/vnd.intergeo;vnd.intergeo
;;application/vnd.intertrust.digibox;vnd.intertrust.digibox
;;application/vnd.intertrust.nncp;vnd.intertrust.nncp
;;application/vnd.intu.qbo;vnd.intu.qbo
;;application/vnd.intu.qfx;vnd.intu.qfx
;;application/vnd.iptc.g2.conceptitem+xml;vnd.iptc.g2.conceptitem+xml
;;application/vnd.iptc.g2.knowledgeitem+xml;vnd.iptc.g2.knowledgeitem+xml
;;application/vnd.iptc.g2.newsitem+xml;vnd.iptc.g2.newsitem+xml
;;application/vnd.iptc.g2.packageitem+xml;vnd.iptc.g2.packageitem+xml
;;application/vnd.ipunplugged.rcprofile;vnd.ipunplugged.rcprofile
;;application/vnd.irepository.package+xml;vnd.irepository.package+xml
;;application/vnd.is-xpr;vnd.is-xpr
;;application/vnd.isac.fcs;vnd.isac.fcs
;;application/vnd.jam;vnd.jam
;;application/vnd.japannet-directory-service;vnd.japannet-directory-service
;;application/vnd.japannet-jpnstore-wakeup;vnd.japannet-jpnstore-wakeup
;;application/vnd.japannet-payment-wakeup;vnd.japannet-payment-wakeup
;;application/vnd.japannet-registration;vnd.japannet-registration
;;application/vnd.japannet-registration-wakeup;vnd.japannet-registration-wakeup
;;application/vnd.japannet-setstore-wakeup;vnd.japannet-setstore-wakeup
;;application/vnd.japannet-verification;vnd.japannet-verification
;;application/vnd.japannet-verification-wakeup;vnd.japannet-verification-wakeup
;;application/vnd.jcp.javame.midlet-rms;vnd.jcp.javame.midlet-rms
;;application/vnd.jisp;vnd.jisp
;;application/vnd.joost.joda-archive;vnd.joost.joda-archive
;;application/vnd.kahootz;vnd.kahootz
;;application/vnd.kde.karbon;vnd.kde.karbon
;;application/vnd.kde.kchart;vnd.kde.kchart
;;application/vnd.kde.kformula;vnd.kde.kformula
;;application/vnd.kde.kivio;vnd.kde.kivio
;;application/vnd.kde.kontour;vnd.kde.kontour
;;application/vnd.kde.kpresenter;vnd.kde.kpresenter
;;application/vnd.kde.kspread;vnd.kde.kspread
;;application/vnd.kde.kword;vnd.kde.kword
;;application/vnd.kenameaapp;vnd.kenameaapp
;;application/vnd.kidspiration;vnd.kidspiration
;;application/vnd.Kinar;vnd.Kinar
;;application/vnd.koan;vnd.koan
;;application/vnd.kodak-descriptor;vnd.kodak-descriptor
;;application/vnd.las.las+xml;vnd.las.las+xml
;;application/vnd.liberty-request+xml;vnd.liberty-request+xml
;;application/vnd.llamagraphics.life-balance.desktop;vnd.llamagraphics.life-balance.desktop
;;application/vnd.llamagraphics.life-balance.exchange+xml;vnd.llamagraphics.life-balance.exchange+xml
;;application/vnd.lotus-1-2-3;vnd.lotus-1-2-3
;;application/vnd.lotus-approach;vnd.lotus-approach
;;application/vnd.lotus-freelance;vnd.lotus-freelance
;;application/vnd.lotus-notes;vnd.lotus-notes
;;application/vnd.lotus-organizer;vnd.lotus-organizer
;;application/vnd.lotus-screencam;vnd.lotus-screencam
;;application/vnd.lotus-wordpro;vnd.lotus-wordpro
;;application/vnd.macports.portpkg;vnd.macports.portpkg
;;application/vnd.marlin.drm.actiontoken+xml;vnd.marlin.drm.actiontoken+xml
;;application/vnd.marlin.drm.conftoken+xml;vnd.marlin.drm.conftoken+xml
;;application/vnd.marlin.drm.license+xml;vnd.marlin.drm.license+xml
;;application/vnd.marlin.drm.mdcf;vnd.marlin.drm.mdcf
;;application/vnd.mcd;vnd.mcd
;;application/vnd.medcalcdata;vnd.medcalcdata
;;application/vnd.mediastation.cdkey;vnd.mediastation.cdkey
;;application/vnd.meridian-slingshot;vnd.meridian-slingshot
;;application/vnd.MFER;vnd.MFER
;;application/vnd.mfmp;vnd.mfmp
;;application/vnd.micrografx.flo;vnd.micrografx.flo
;;application/vnd.micrografx.igx;vnd.micrografx.igx
;;application/vnd.mif;vnd.mif
;;application/vnd.minisoft-hp3000-save;vnd.minisoft-hp3000-save
;;application/vnd.mitsubishi.misty-guard.trustweb;vnd.mitsubishi.misty-guard.trustweb
;;application/vnd.Mobius.DAF;vnd.Mobius.DAF
;;application/vnd.Mobius.DIS;vnd.Mobius.DIS
;;application/vnd.Mobius.MBK;vnd.Mobius.MBK
;;application/vnd.Mobius.MQY;vnd.Mobius.MQY
;;application/vnd.Mobius.MSL;vnd.Mobius.MSL
;;application/vnd.Mobius.PLC;vnd.Mobius.PLC
